ingredient_a,ingredient_b,level,label,reason,source,verified
레티놀,글라이콜릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,락틱애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,만델릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,살리실릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,타타릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,글라이콜릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,락틱애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,만델릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,살리실릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,타타릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,글라이콜릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,락틱애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,만델릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
